Organization/Person Name,Description,Primary Job Title,Primary Organization,Investment Stage,Investor Type,Regions,Twitter,Website,Number of Investments,Number of Exits
Sue Heilbronner,"Sue is a CEO, founder, speaker, advisor, investor, podcast host, mentor, professor, former civil rights attorney, creative visionary, operat...",CEO & Co-Founder,MergeLane,Seed,"Investment Partner, Individual/Angel","Greater Denver Area, Western US",https://twitter.com/tellsue,,1,1
Jean Kovacs,Jean has over 25 years of experience directing technology companies and a track record of using her strategic business skills and background...,President,HBS Alumni Angels,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",,,1,1
Kelly Ireland,Kelly Ireland has been involved in the IT industry since 1976 and in the reseller industry since 1984. She founded CB Technologies in 2001 a...,CEO,"CB Technologies, Inc.",Seed,Individual/Angel,Western US,https://twitter.com/cbt_kelly,,1,1
Rena Ronson,Partner & Head of Independent Film at United Talent Agency,Head of UTA Independent Film Group,United Talent Agency,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",,,1,
Hallie Vanderhider,"Hallie is Managing Partner of Catalyst Partners.  She has an extensive career in both oil and gas as well as private equity, serving both in...",Managing Partner,Catalyst Partners,Seed,Individual/Angel,"Greater Houston Area, Southern US",,,1,
Sandra Kurtzig,Software industry pioneer Sandra Kurtzig founded Kenandy in 2010 with the vision to once again transform the world of enterprise management ...,"Founder, Chairman",Kenandy,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/SandyKurtzig,,1,1
Jill Preotle,Jill Preotle is a private equity investor who works with entrepreneurs seeking access to capital and growth markets. She serves on the board...,Director,ITeam,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",,,4,
Sandra Kresch,Sandra Kresch has more than 35 years of experience as an entrepreneur and growth strategist focused on building successful marketing driven ...,Managing Director,Golden Seeds,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,2,1
Gabriella Draney,"Gabriella Draney Zielke is Co-founder and CEO of Tech Wildcatters, a Top 10 seed accelerator for technology startups. She recently co-founde...",Founder,Tech Wildcatters,Seed,"Investment Partner, Individual/Angel","Dallas/Fort Worth Metroplex, Southern US",http://twitter.com/gabdraney,,1,
Carla Geisser,Carla Geisser,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,1
Yoky Matsuoka,"Yoky Matsuoka, former VP of Technology at Nest, is currently heading the HealthKit and ResearchKit projects at Apple.  After an impressiv...",CTO,Nest Labs,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",,,1,
Peggy Grigus Mangot,"Peggy is a veteran in the consumer financial services industry. Previously, Peggy led strategic partnership management at Google focusing on...",SVP Innovation Group,Wells Fargo,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,http://about.sparkgift.com/,1,
Melanie Gauss,Melanie Gauss - Chief Operating Officer @ zingFit,Chief Operating Officer,zingFit,Seed,Individual/Angel,"Greater Denver Area, Western US",https://twitter.com/mwgauss,,1,
Sharen Jester Turney,"Sharen served as President and CEO of Victoria’s Secret from 2006-2016. Prior to that appointment, she was the CEO of Victoria’s Secret’s ec...",,,Seed,Individual/Angel,"Great Lakes, Midwestern US",,https://en.wikipedia.org/wiki/Sharen_Jester_Turney,1,
Nicole Yeary,"Nicole has led Ms.Tech, a Chicago-based company focused on seeing more women start and scale technology companies, as the founder since 2014...","Founder, President",Ms.Tech,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",http://twitter.com/nicoleyeary,http://nicoleyeary.com,3,
Sheryl Schultz,"Sheryl Schultz is an expert in startup company dynamics, with a deep understanding of the marketing and organizational challenges faced by g...","Founder, President",CabinetM,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",http://twitter.com/sherylschultz,http://www.cabinetm.com,1,
Jane Martin,"Jane is a co-founder of Spring Mill Venture Partners and a general partner with Village Ventures. As such, she serves as the primary liaison...",Co-Founder,Spring Mill Venture Partners,Seed,Individual/Angel,"Great Lakes, Midwestern US",,,1,
Kay Koplovitz,"Kay Koplovitz is the Founder of USA Network, the Sci-Fi Channel and USA Networks International. Kay created the business model for cable net...",Co-Founder and Chairman,Springboard Enterprises,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/KayKoplovitz,,1,
Leanne Pittsford,"Leanne Pittsford is an entrepreneur, technology strategist, UX designer, and tech investor. As the Founder and CEO of digital agency Start S...","Founder, CEO",Lesbians Who Tech,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/lepitts,,1,1
Carol Barash,"Carol Barash started Story2 to create a future where everyone, from every background, can tell their stories and pursue their boldest dreams...","Founder, CEO",Story2,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/CarolBarash,,1,
Lisa Feria,Lisa Feria is a seasoned business manager with over 15 years of experience running organizations and businesses. She has worked with blue ch...,CEO,Stray Dog Capital,Seed,"Investment Partner, Individual/Angel",Midwestern US,https://twitter.com/lisa_feria,,1,
Christine Wyatt,Christine Wyatt - Board Member @ Upswing,Board Member,Upswing,Seed,Individual/Angel,"Dallas/Fort Worth Metroplex, Southern US",,,2,
Sara Haider,"Sara Haider - Staff Software Engineer, Android @ Periscope Co","Staff Software Engineer, Android",Periscope Co,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/pandemona,,2,1
Susan Bratton,Susan founded Meals To Heal in 2011 after a career on Wall Street where she represented and focused exclusively on early and growth stage he...,Founder and Chief Executive Officer,Savor Health,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/meals2heal_1,,1,
Gabriela Hearst,Gabriela Hearst - Co-Founder and Creative Director @ Gabriela Hearst,Co-Founder and Creative Director,Gabriela Hearst,Seed,Individual/Angel,East Coast,,,1,
Elnaz Sarraf,Elnaz Sarraf,,,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",,,1,
Georgia Weidman,"Shevirah founder and CTO Georgia Weidman is a serial entrepreneur, penetration tester, security researcher, speaker, trainer, and author. Sh...",Founder & CTO,Shevirah,Seed,Individual/Angel,"Washington DC Metro Area, East Coast, Southern US",,,1,
Stefania Bethlen,Stefania Bethlen,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,2,
Kelly Hoey,Kelly Hoey is a networking expert whose forthcoming book Build Your Dream Network is to be released in January 2017 by Tarcher Perigee. “Sto...,Adjunct Professor,LIM College,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/jkhoey,http://jkellyhoey.co/,3,
Caitlin Wege,Caitlin Wege - Partner @ Moodoos Investments,Partner,Moodoos Investments,"Early Stage Venture, Seed","Investment Partner, Individual/Angel","Greater San Diego Area, West Coast, Western US",,,1,
Serena Glover,Serena Glover - Partner @ fbf,Partner,fbf,Seed,Individual/Angel,"Greater Seattle Area, West Coast, Western US",,,3,1
Teris Pantazes,Teris Pantazes - Co-Founder & CEO @ EFynch.com,Co-Founder & CEO,EFynch.com,Seed,Individual/Angel,"Greater Baltimore-Maryland Area, East Coast, Southern US",,,1,
Jae Heller,Angel investor and all around start-up enthusiast. Strategic Partnerships Ninja with a natural ability to network and partner people and com...,Advisor - Partnerships,Memo,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/jae_ventures,http://jae.ventures,3,1
Anna Degtereva,"Anna Degtereva is Happy Farm business accelerator (happyfarm.co) CEO&Founder, Co-Organizer & Executive Producer of Startup Addventure 2013 (...",CEO,Happy Farm Business Accelerator,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/AnnaDegtereva,,1,
Denise Warren,"Denise Warren was named executive vice president of the Digital Products and Services Group in March 2013. As such, Warren oversees the oper...",Member of the Board of Directors,Electronic Arts,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Robin Farmanfarmaian,"Robin Farmanfarmaian is a professional speaker, entrepreneur, and angel investor, driving high-level business development for cutting-edge m...",,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/Robinff3,http://robinff.com,1,1
Julie Herendeen,"Julie is an experienced marketing executive with over 15 years in technology marketing. As Vice President of Marketing at Lookout, Julie is ...",Investor,Broadway Angels,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Wenda Harris Millard,"In April 2009, Wenda Harris Millard became President and COO of MediaLink LLC, a leading strategic advisory and business development firm th...",President & Chief Operating Officer,MediaLink,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/wendamillard,http://www.medialink.com/,2,
Shannon Sweeney Offen,Shannon Sweeney Offen - Investment Banker @ SunTrust Robinson Humphrey,Investment Banker,SunTrust Robinson Humphrey,Seed,Individual/Angel,"Greater Atlanta Area, East Coast, Southern US",,,1,
Carol Gallagher,"Carol Gallagher joined NEA in October, 2014.  She is primarily focused on biopharma investments.  Carol is a proven entrepreneur, operator a...",Partner,New Enterprise Associates,Seed,"Investment Partner, Individual/Angel","Greater San Diego Area, West Coast, Western US",http://twitter.com/carol_gallagher,,1,
Lisa Favaro,"Lisa is a private equity and angel investor, investing primarily through Golden Seeds’ angel network. Golden Seeds is an investment firm ded...",Managing Director,Golden Seeds,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Mellie Price,"Mellie Price is the founding partner of Source Spring, a micro-business management and angel investment group that specializes in technology...",Executive Director Of Technology Innovation,The University of Texas at Austin,Seed,Individual/Angel,Southern US,https://twitter.com/mellieprice,,1,
Skye Lee,"Skye Lee is a user experience design manager at [Oculus VR](https://www.crunchbase.com/organization/oculus-vr), a technology company that de...","Senior User Experience Manager - Site, Mobile & Originals",Netflix,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Debbie Landa,"Debbie Landa has been an entrepreneur for more than 20 years. In 2000, she built Dealmaker Media, a network of innovators from early-stage s...",CEO,Dealmaker Media,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/deblanda,http://www.dealmakermedia.com,1,1
Liesl Yearsley,"Liesl Yearsley is founder/CEO of Cognea Artificial Intelligence, which was acquired by IBM and is now an integral part of Watson. Prior to t...",CEO,Cognea,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,1
Meranee Phing Naaman,Meranee Phing Naaman - Partner and Industry Sector Head of Consumer @ Riverside Company,Partner and Industry Sector Head of Consumer,Riverside Company,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",,,1,
Margaret H. Lawrence,"Margaret has been investing in information technology companies since 1998, and brings a combination of investment and information technolog...","VP, General Manager B2B",Wayfair,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",,,1,
MaryAnn Bekkedahl,"MaryAnn Bekkedahl is the co-founder and president of Keep Holdings.  Formerly, as the EVP, Group Publisher of Rodale, she ran advertising sa...","President, Co-Founder",Keep Holdings,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,1
Sarah Martin,"Sarah is a vice president at the Digital Currency Council, Bitcoin’s leading professional organization. Previously, she directed strategy an...","Director, Business Development",MasterCard Advisors,Seed,Individual/Angel,"Washington DC Metro Area, Southern US",,,1,
Elizabeth Kraus,"Elizabeth Kraus is the co-founder of MergeLane and the Impact Angel Group. Kraus started her career as an intern for a fast growing startup,...",Chief Investment Officer,MergeLane,Seed,"Investment Partner, Individual/Angel","Greater Denver Area, Western US",https://twitter.com/elizabethkraus,,1,
Maya Rogers,"Maya is the President and CEO of Blue Planet Software, the sole agent for the Tetris® brand. She brings with her a decade of experience in t...","Co-Founder, Partner",Blue Startups,Seed,Individual/Angel,"Asia-Pacific (APAC), Western US",https://twitter.com/alohamaya,https://tetris.com/,1,1
Poornima Vijayashanker,"Poornima Vijayashanker is currently the founder at Femgineer, previously founding engineer at Mint.com. Since Mint’s acquisition, she has ta...",Founder & CEO,BizeeBee,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/poornima,http://femgineer.com,1,
Eileen Murray,Eileen Murray,,,Seed,Individual/Angel,,,https://www.bridgewater.com/leadership/eileen-murray/,1,
Mich Mathews,"Mich Mathews was the senior vice president for Microsoft's Central Marketing Group. She oversaw the company's global marketing function, inc...",Advisor,Karma,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/michmathews,,1,
Rosa McCormick,"Rosa resides in Austin, Texas and has been working with and investing in early stage companies since 2004. She is currently Managing Directo...",Managing Director,Wild Basin Investments,Seed,Individual/Angel,Southern US,http://twitter.com/sestrel,,1,1
Carole Buyers,Carole Buyers is a Managing Partner at Boulder Investment Group Reprise (BIGR) a venture fund that invests in early-stage natural and organi...,,,Seed,"Investment Partner, Individual/Angel","Greater Denver Area, Western US",,,1,
Chuhan Wang,Chuhan Wang - Co-Founder @ 996 Makers,Co-Founder,996 Makers,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Angela Zaeh,Angela Zaeh,,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/angelazaeh,,2,
Barbara Stinnett,"Barb Stinnett is the founder and CEO of Timmaron Group (“TG”), a global services company focused on applied technologies and offering strate...",Founder and CEO,Timmaron Group,Seed,Individual/Angel,Midwestern US,,,1,
Kate Eberle Walker,CFO/SVP  Strategy & Corp Dev Tutor.com / IAC.,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,3,
Caroline Kent,Caroline Kent - Partner @ Kent Family Ventures,Partner,Kent Family Ventures,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Hala Labaki,Hala Labaki - Founder & CEO @ Shahiya,Founder & CEO,Shahiya,Seed,Individual/Angel,"East Coast, New England, Northeastern US",http://twitter.com/HalaLabaki,,1,
Kiana Anvaripour,Luxury Intimates Designer,"Founder, Designer, CEO",dMondaine,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/KianaAnvaripour,,1,
Mary Delaney,"As President of Recruiting Software Solutions, Mary Delaney oversees the development and operations of CareerBuilder’s global software platf...","President, Onboarding Software Solutions",CareerBuilder,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",https://twitter.com/marywdelaney,,3,1
Barbara Scherer,Barbara Scherer has served as one of our directors since August 2011.Scherer currently is a private investor.Scherer was Senior Vice Preside...,Member of the Board of Directors,NETGEAR,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Michelle Czarnik,Michelle provides the structure and direction to keep the most complex projects on time and on budget. Over 15 years experience in client en...,,,"Convertible Note, Seed",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/michelles010,http://www.boxspringentertainment.com,2,
Christen O'Brien,Christen O’Brien is VP Marketing at NFX Guild where she leads content + brand for both NFX ventures and NFX software. Previously she led ...,Vice President of Marketing,NFX,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/christenobrien,http://www.nfx.com,2,
Lucy McAllister,"Lucy McAllister is a lawyer serving the San Francisco Bay area.  A criminal defense and family law expert, she has handled over 100 Superior...",,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/McAllisterLucy,,1,1
Venus Williams,Venus Williams,,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",,,1,
Sujatha Kamma,"Sujatha Kamma is the co-founder and chief strategist at FunnelAI. Prior to co-founding FunnelAI, Sujatha served as a program director at Alb...",Co-Founder and Chief Strategist,FunnelAI,Seed,Individual/Angel,Southern US,,,2,1
Josie Mora,Josie Mora - Founder & CEO @ takokat,Founder & CEO,takokat,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",,,1,
Kimberly Straub,Kimberly Straub - Chief Experience Officer (CXO @ Barley + Oats,Chief Experience Officer (CXO,Barley + Oats,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Rochelle Stewart,"Rochelle Stewart has over 11 years of experience leading corporate and growth strategy across the finance, luxury consumer products and medi...",Director - Social Strategy & Innovation,Condé Nast,"Early Stage Venture, Seed",Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/ronicole_s,,1,
Rachael McCrary,Rachael McCrary is a startup founder and early stage advisor.,,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/rachaelbydesign,http://rachaelmccrary.com,1,
Jayna Cooke,"Jayna Cooke is an entrepreneur, philanthropist and investor based in Chicago, IL. Originally from Michigan, In 2007,  Cooke moved to Chic...",CEO| Co-Founder,EVENTup,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",http://twitter.com/JaynaCooke,http://www.jaynacooke.com,2,1
Elena Anfimova,Elena Anfimova,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Gale Anne Hurd,Gale Anne Hurd,,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/GunnerGale,,1,
Idit Harel,Idit Harel - Founder & CEO @ Globaloria,Founder & CEO,Globaloria,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/idit,,2,1
Jennifer Gilbert,Jennifer Gilbert,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Bonnie Beeman,"Bonnie is CEO & Founder of Wearable Xlabs Inc., an MIT startup headquartered in Seattle Washington.  She works with a team of wireless and b...",CEO & Founder,Airwavz.tv,Seed,Individual/Angel,"Greater Seattle Area, West Coast, Western US",http://twitter.com/bonniebeeman1,http://airwavz.tv,1,
Marilyn Crawford,Chief Executive Officer of Health As We Age (HAWA). ,Chief Executive Officer,"Health As We Age, Inc.",Seed,Individual/Angel,"Greater Miami Area, East Coast, Southern US",,,1,
Mary Naylor,"Mary Naylor is currently the CEO of Aspire Lifestyles, a leading global B2B benefit solution and personal assistance provider and the founde...",CEO,Aspire Lifestyles,Seed,Individual/Angel,"Washington DC Metro Area, Southern US",https://twitter.com/MaryNaylorVIP,,1,
Stefania Bellini,Stefania Bellini - Principal @ Stefania Bellini Designs,Principal,Stefania Bellini Designs,Seed,Individual/Angel,Southern US,https://twitter.com/stefbellini/status/651979850819874817,,1,
Lena Goldberg,"Lena G. Goldberg is a Senior Lecturer in the General Management Group of the Harvard Business School. Previously, she served as Executive Vi...",Senior Lecturer of Business Administration,Harvard Business School,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",,,2,
Betsy McHugh,"Vanderbilt University graduate (magna cum laude, Business Psychology), Betsy McHugh, is a 17-year professional in the entertainment business...",Founder | Chief Executive Officer,Hurdl,Seed,Individual/Angel,Southern US,https://twitter.com/betsymchugh,,1,
Eileen Rudden,"Eileen Rudden is the founder of Sankaty Growth Partners, and co-founder of LearnLaunch. Most recently, she served as the Chief Officer of Co...",Partner,LearnLaunch Accelerator,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",https://twitter.com/eileenrudden,,5,1
Dorothy Price Hill,Dorothy Price Hill is one of our primary financial advisors and is also an  advisor to non-profit Global Citizens Initiative [Youth Leadersh...,"Global Consultant & Member, ACFE",Global Financial & Technology Consulting,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/DorothyHill,,1,1
Shannon Bavaro,Shannon Bavaro,,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,1
Jo Ann Corkran,"Jo Ann Corkran, Managing Partner of Golden Seeds LLC and Lead Partner of Golden seeds Fund 2, has been a lead investor on multiple transacti...",Managing Partner,Golden Seeds,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Miriam Monahan,Internationally recognized clinician and researcher recognized for innovations in the field of cognition and driving and the visionary behin...,Co-Founder/ Chief Science Officer,Drive Fit,Seed,Individual/Angel,"New England, Northeastern US",,,1,
Jean Case,"Jean Case is an actively engaged philanthropist, investor and a pioneer in the world of interactive technologies. Her career in the private ...",Co-Founder & CEO,The Case Foundation,Seed,Individual/Angel,"Washington DC Metro Area, Southern US",https://twitter.com/jeancase,,3,1
Shannon Snow,"Facebook, Ex-Google, Angel Investor",,,Seed,Individual/Angel,"East Coast, Northeastern US",,,1,
Jinpei Li,"CFA, Berkeley Haas MBA, USC MSEE",,,Seed,Individual/Angel,"West Coast, Western US",,,1,
Renee LaBran,Renee LaBran - Partner @ Rustic Canyon/Fontis Partners,Partner,Rustic Canyon/Fontis Partners,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",,,2,1
Natasha Petrukhin,"Natasha Petrukhin - Director, Investor Relations @ Rokk3r","Director, Investor Relations",Rokk3r,Seed,Individual/Angel,"Greater Miami Area, East Coast, Southern US",,,1,
Alison Sweeney,"Alison Ann Sweeney is an American dramatic actress, reality show host, director and author. Sweeney is best known for her portrayal of Saman...",,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/ali_sweeney,,2,
Barbara Jones,Barbara Jones - Founder & CEO @ Lillii RNB Inc,Founder & CEO,Lillii RNB Inc,Seed,Individual/Angel,"Greater Atlanta Area, East Coast, Southern US",,,1,
"Martha Liggett, Esq.","Martha Liggett, Esq. - Executive Director @ American Society of Hematology",Executive Director,American Society of Hematology,Seed,Individual/Angel,Western US,,,1,
Lucy McQuilken,Managing Director AtoB Consulting,Managing Partner,AtoB Consulting,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",https://twitter.com/Lucymcq,,2,1
Venetia Kontogouris,Venetia Kontogouris has been associated with Trident Capital since 1995. She joined Trident Capital in 1999 as a Managing Director. Prior to...,Managing Director,DepotPoint,Seed,"Investment Partner, Individual/Angel","East Coast, New England, Northeastern US",,,2,1
Joy Lindsay,"Joy Lindsay is President and co-founder of StarTec Investments, LLC, a private venture capital firm that has been investing in high-tech com...",CEO and President,StarTec Investments,Seed,"Investment Partner, Individual/Angel","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",,,1,
Sharon Chang,"Sharon Chang - Co-founder @ Smiletime, Inc.",Co-founder,"Smiletime, Inc.",Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/sharonchang,,1,
Minh Hong,"Marketing, sales, recruiting and financial markets expert with experience at Morgan Stanley, Disney, IBM, and various startups. Series 7 & ...",,,Seed,Individual/Angel,"Greater San Diego Area, West Coast, Western US",,,1,
Obi Felten,"Obi Felten - Head of getting moonshots ready for contact with the real world @ X, the moonshot factory",Head of getting moonshots ready for contact with the real world,"X, the moonshot factory",Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/obifelten,,1,
Pamela Ryan,Dr. Ryan received her Ph.D. from the University of Texas at Austin with award-winning research on the psychology of decision-making in the U...,Managing Director,Tingari Group,Seed,Individual/Angel,Southern US,https://twitter.com/DrPamelaRyan,,1,
Beth Birnbaum,"Beth Birnbaum is the COO of Playfab. Prior to this role, she served as Senior Vice President of Product at GrubHub. Beth joined GrubHub in 2...",Chief Operating Officer,PlayFab,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",,,1,1
Deborah Ellinger,Deborah Ellinger has served as a director since November 2011. She has been the chief executive officer or president of three private-equity...,Member of the Board of Directors,The Commonwealth Institute,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",,,1,
Noor Abid,Noor Abid - Procurement Staff Attorney @ Sidley Austin LLP,Procurement Staff Attorney,Sidley Austin LLP,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",,,1,
Akiko Fujikawa,Akiko Fujikawa - CFO @ Peatix,CFO,Peatix,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Tilli Klisky,"Tilli is an Associate Partner at Greylock Israel where she has been actively involved in investments across internet infrastructure, consume...",,,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",,,2,
Sheli Z. Rosenberg,Sheli Z. Rosenberg served as a director of Nanosphere from 2002 to 2012 before rejoining the Company's board in 2013 to assume the role of C...,Director,Cellular Dynamics International,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",,,1,1
Sarah Yonover,"As a former Director of Sales for Michael Kors and Assistant Buyer for Bergdorf Goodman, one thing I know to be true is that all women love ...",Founder,HipKnoTies,Seed,Individual/Angel,"Greater Phoenix Area, Western US",https://twitter.com/hipknoties,https://HipKnoTies.com,1,
Song Pak,"Song H. Pak is Senior Vice President of Operations and Deputy General Counsel for Revolution, and General Counsel and Chief Compliance Offic...",SVP Operations & Deputy General Counsel,Revolution,Seed,Individual/Angel,"Washington DC Metro Area, Southern US",,,1,
Meghna Deshraj,Meghna Deshraj,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,2,
Ella Fontanals-Cisneros,Ella Fontanals-Cisneros,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Deena Burnett-Bailey,Deena Burnett-Bailey - Director @ Angels of Hope,Director,Angels of Hope,Seed,Individual/Angel,Southern US,https://twitter.com/dburnettbailey,,1,
Katherine Gaffney,"Katherine runs a strategy, finance and operations consulting practice advising tech startups and digital media companies in LA, SF, and the ...",,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/startupcfos,,1,
Jade Wang,Founder at Sandstorm,,,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/qiqing,,2,
Traci Dolan,"Traci is responsible for shareholder relations, risk management, legal and corporate governance, HR, and real estate. Prior to her current r...",Member of the Board of Directors,Steel Dynamics,Seed,Individual/Angel,"Great Lakes, Midwestern US",,,3,1
Emily Mitra,"Emily is an active member of her community as both a mother with two young girls, ages three and nine, and as a businesswoman. In addition t...",Owner,DOSA,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Eliza Avery,Eliza Avery,,,"Early Stage Venture, Seed",Individual/Angel,"East Coast, Southern US",,,1,
Catherine Mazzola,Catherine Mazzola - Founder @ medEchat,Founder,medEchat,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Yael Shazeer,Yael Shazeer,,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Christine Tate,Christine Tate is COO of VARA Firearm Security. Our first product is new breed of firearm security that allows instant access to your handgu...,COO,VARA Firearm Security,Seed,Individual/Angel,"East Coast, Northeastern US",http://twitter.com/upstatechrissy,http://www.varausa.com,1,
Samantha Tripodi,Samantha Tripodi - Design Director @ Yahoo,Design Director,Yahoo,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/samtripodi,,1,1
Christine Perkett,"Christine Perkett is a serial entrepreneur,  founder, and senior marketing and PR consultant. She Founded SeeDepth, a PR Analytics software ...","Founder, Chairman & Chief Product Officer","SeeDepth, Inc.",Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",http://twitter.com/missusP,http://www.christineperkett.com,1,1
Jean Rosauer,"Positioning is the secret sauce to growing your company. It unlocks the highest value of your company, product or technology. My firm Fue...",Adjunct Professor,"Georgetown University, McDonough School of Business",Seed,Individual/Angel,"Washington DC Metro Area, Southern US",https://twitter.com/JeanRosauer,,1,
Sumati Pandya,Sumati Pandya - Sr. Partner Manager @ Arm Holdings,Sr. Partner Manager,Arm Holdings,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",,,1,
Jill Greenthal,"Jill A. Greenthal is a Senior Advisor in Private Equity at the Blackstone Group. Prior to September 2007, Greenthal was a Senior Managing Di...",Member of the Board of Directors,Tegna,Seed,Individual/Angel,"Greater Miami Area, East Coast, Southern US",,,1,
